Begin CNN Model
ncr,v8665,38.0,8000.0,24000.0,160.0,4.0,8.0,140.0,281.0
harris,80,300.0,192.0,768.0,6.0,6.0,24.0,36.0,18.0
dg,eclipse:mv/6000,110.0,1000.0,4000.0,16.0,1.0,2.0,26.0,30.0
siemens,7.561,52.0,4000.0,16000.0,32.0,4.0,12.0,130.0,99.0
prime,50-750-ii,160.0,1000.0,8000.0,16.0,1.0,14.0,60.0,43.0
amdahl,470v/7c,29.0,8000.0,16000.0,32.0,8.0,16.0,132.0,132.0
dec,vax:11/750,320.0,512.0,8000.0,4.0,1.0,5.0,40.0,36.0
ibm,4331-11,900.0,1000.0,4000.0,4.0,1.0,2.0,18.0,26.0
amdahl,470v/7,29.0,8000.0,32000.0,32.0,8.0,32.0,269.0,253.0
sperry,1100/84,50.0,4000.0,32000.0,112.0,52.0,104.0,397.0,360.0
c.r.d,universe:68,320.0,256.0,6000.0,0.0,1.0,6.0,33.0,28.0
honeywell,dps:8/44,140.0,2000.0,4000.0,8.0,1.0,20.0,35.0,32.0
gould,concept:32/8780,75.0,2000.0,16000.0,128.0,1.0,38.0,259.0,157.0
wang,vs-100,480.0,512.0,8000.0,32.0,0.0,0.0,67.0,47.0
nas,as/7000-n,72.0,2000.0,8000.0,16.0,6.0,8.0,105.0,48.0
nas,as/8040,40.0,8000.0,16000.0,32.0,8.0,16.0,214.0,126.0
sperry,1100/61-h1,116.0,2000.0,8000.0,32.0,5.0,28.0,70.0,56.0
burroughs,b5900,143.0,1500.0,6300.0,0.0,5.0,32.0,30.0,35.0
nas,as/5000-n,92.0,2000.0,8000.0,4.0,1.0,6.0,50.0,41.0
ncr,v8585:ii,56.0,4000.0,12000.0,0.0,1.0,8.0,42.0,62.0
burroughs,b5920,143.0,3100.0,6200.0,0.0,5.0,20.0,33.0,39.0
cdc,cyber:170/750,25.0,1310.0,2620.0,131.0,12.0,24.0,274.0,102.0
cambex,1636-10,50.0,1000.0,8000.0,8.0,3.0,5.0,36.0,41.0
harris,600,300.0,768.0,4500.0,0.0,1.0,24.0,45.0,27.0
ipl,4445,50.0,2000.0,8000.0,8.0,1.0,6.0,56.0,44.0
prime,50-550-ii,160.0,1000.0,4000.0,8.0,1.0,14.0,38.0,29.0
magnuson,m80/44,50.0,2000.0,16000.0,24.0,6.0,16.0,65.0,88.0
sperry,1100/81,50.0,2000.0,32000.0,24.0,6.0,26.0,114.0,182.0
ibm,8140,800.0,768.0,2000.0,0.0,0.0,0.0,20.0,20.0
magnuson,m80/42,50.0,2000.0,16000.0,12.0,3.0,16.0,45.0,80.0
dec,vax:11/730,810.0,1000.0,5000.0,0.0,1.0,1.0,20.0,28.0
sperry,1100/83,50.0,2000.0,32000.0,112.0,52.0,104.0,307.0,341.0
cdc,cyber:170/825,50.0,2620.0,10480.0,30.0,12.0,24.0,63.0,74.0
honeywell,dps:6/35,330.0,1000.0,3000.0,0.0,2.0,4.0,16.0,23.0
honeywell,dps:8/62,140.0,2000.0,32000.0,32.0,1.0,54.0,189.0,181.0
ibm,4341-11,180.0,2000.0,8000.0,8.0,1.0,6.0,50.0,42.0
ibm,3083:e,26.0,8000.0,16000.0,0.0,8.0,16.0,185.0,113.0
cambex,1651-1,50.0,2000.0,16000.0,8.0,3.0,6.0,60.0,74.0
ncr,v8650,38.0,4000.0,8000.0,32.0,16.0,32.0,116.0,80.0
nas,as/6650,50.0,4000.0,16000.0,64.0,5.0,10.0,111.0,119.0
honeywell,dps:8/49,140.0,2000.0,32000.0,32.0,1.0,20.0,134.0,175.0
ibm,4361-5,25.0,2000.0,12000.0,16.0,3.0,5.0,66.0,65.0
burroughs,b4955,110.0,5000.0,5000.0,142.0,8.0,64.0,120.0,124.0
sperry,1100/94,30.0,8000.0,64000.0,128.0,12.0,176.0,1150.0,978.0
burroughs,b2900,143.0,512.0,5000.0,0.0,7.0,32.0,28.0,29.0
ncr,v8655,38.0,8000.0,16000.0,64.0,4.0,8.0,100.0,142.0
siemens,7.865-2,70.0,4000.0,12000.0,8.0,6.0,8.0,75.0,67.0
formation,f4000/200,800.0,256.0,8000.0,0.0,1.0,4.0,14.0,34.0
ibm,4321,900.0,1000.0,1000.0,0.0,1.0,2.0,11.0,18.0
dg,eclipse:m/600,700.0,256.0,2000.0,0.0,1.0,1.0,24.0,19.0
cdc,omega:480-ii,50.0,1000.0,4000.0,8.0,1.0,5.0,29.0,29.0
ibm,3081,26.0,16000.0,32000.0,64.0,16.0,24.0,465.0,361.0
honeywell,dps:7/65,140.0,2000.0,4000.0,0.0,4.0,8.0,40.0,29.0
hp,3000/44,105.0,1000.0,4000.0,0.0,3.0,24.0,32.0,28.0
